"sub","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther","trabajo_self","trabajo_other","trabajo_total","zeros_SELF","zeros_OTHER","zeros_TOTAL","trabajo_self_ajustado","trabajo_other_ajustado","trabajo_total_ajustado","tasa_fallo_self","tasa_fallo_other","tasa_fallo_total"
"6469",0.875,0.8571,1,0.7143,0.75,0.8571,1,1,1,0.6667,1,0.8333,0.6667,0.5,0.913,0.7727,87.5,70.83,79.17,4.17,8.33,6.25,91.3,77.27,84.44,28.57,52.94,39.47
"6495",0.8571,1,1,0.8571,0.875,0.8333,1,1,1,0.8333,1,0.8,1,0.6,0.9565,0.8571,91.67,75,83.33,4.17,12.5,8.33,95.65,85.71,90.91,9.09,0,5
"6604",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0
"6644",0.5,0.75,0.5,0.5,0.5,0.625,0.6667,0.8333,0.6667,0.1667,0.3333,0.8333,0.5,0.5,0.5833,0.5417,58.33,54.17,56.25,0,0,0,58.33,54.17,56.25,0,7.69,3.7
"6707",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91.67,91.67,91.67,8.33,8.33,8.33,100,100,100,18.18,4.55,11.36
"6770",1,0.875,1,0.8333,0.4,0.5,1,1,1,0.8333,0.8,0.5,0.75,0.25,0.9583,0.5882,95.83,41.67,68.75,0,29.17,14.58,95.83,58.82,80.49,21.74,0,15.15
"6802",1,1,1,0,0.6,0.6,1,1,1,1,0,1,0.25,0.5,1,0.4615,87.5,25,56.25,12.5,45.83,29.17,100,46.15,79.41,28.57,33.33,29.63
"6996",0.5,0.3333,0.4,0.3333,0.5714,0.2,0,0.3333,0.4,0.8,0.5,0.6,0,0.4,0.4118,0.3889,29.17,29.17,29.17,29.17,25,27.08,41.18,38.89,40,28.57,28.57,28.57
"7047",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79.17,83.33,81.25,20.83,16.67,18.75,100,100,100,0,10,5.13
"7107",1,1,1,0.5,0.875,0.5,1,1,1,1,0.5,0.3333,1,0.75,1,0.65,87.5,54.17,70.83,12.5,16.67,14.58,100,65,82.93,14.29,0,8.82
"7389",1,0.875,1,1,1,1,1,1,1,0.8333,1,1,1,1,0.9583,1,95.83,83.33,89.58,0,16.67,8.33,95.83,100,97.73,13.04,0,6.98
"7512",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79.17,91.67,85.42,20.83,8.33,14.58,100,100,100,10.53,4.55,7.32
"7656",1,1,1,0.4286,0.125,0.1667,1,1,1,1,0.4,0.2,0.4,0,1,0.2381,100,20.83,60.42,0,12.5,6.25,100,23.81,64.44,8.33,0,6.9
"7772",0.7143,0.875,0.8571,0.625,1,0.875,0.8333,1,0.8333,0.6,0.6667,1,0.8333,0.8333,0.8182,0.8261,75,79.17,77.08,8.33,4.17,6.25,81.82,82.61,82.22,5.56,0,2.7
"7803",0.75,0.375,0.625,0.5,0.625,0.625,0.5,0.6667,0.6667,0.5,0.8333,0.6667,0.5,0.3333,0.5833,0.5833,58.33,58.33,58.33,0,0,0,58.33,58.33,58.33,0,7.14,3.57
"7875",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,83.33,91.67,0,16.67,8.33,100,100,100,12.5,0,6.82
"7927",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95.83,91.67,93.75,4.17,8.33,6.25,100,100,100,4.35,18.18,11.11
"7937",1,1,1,0.875,0.875,1,1,1,1,1,0.6,1,1,1,1,0.913,91.67,87.5,89.58,8.33,4.17,6.25,100,91.3,95.56,0,9.52,4.65
