"","sub","HelpSelf","HelpOther","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther"
"52","5156",1,0.8333,1,1,1,0.625,1,0.875,1,1,1,1,1,0.8333,0.8333,0.6667,1,0.8696
"53","5273",0.875,0.875,0.75,0.875,1,0.875,0.875,0.875,1,0.8333,0.6667,1,1,0.8333,0.8333,0.8333,0.913,0.913
"54","5495",0.9583,0.5,1,1,0.875,0.375,0.5,0.625,1,1,0.8333,1,0.5,0.6667,0.3333,0.5,1,0.5714
"55","5654",1,0.3333,1,1,1,0.25,0.5,0.25,1,1,1,1,1,0.1667,0,0.1667,1,0.381
"56","5822",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57","5835",0.7917,0.6667,0.625,0.75,1,0.5,0.625,0.875,1,0.6667,0.6667,0.8333,0.5,0.5,1,0.6667,1,0.8889
"58","5918",0.625,0.2083,0.375,0.75,0.75,0.125,0.25,0.25,1,0.8333,0.3333,0.3333,0.6667,0.1667,0,0,0.625,0.2083
"59","6055",0.9583,0.875,1,0.875,1,0.875,0.875,0.875,1,1,1,0.8333,1,0.6667,0.8333,1,0.9583,0.913
"60","6121",1,0.9167,1,1,1,1,0.875,0.875,1,1,1,1,1,0.6667,1,1,1,1
"61","6246",0.9583,0.0833,0.875,1,1,0.125,0.125,0,1,1,1,0.8333,0.1667,0,0.1667,0,1,0.0833
"62","6247",0.875,0.2083,0.875,0.875,0.875,0.375,0,0.25,1,0.8333,0.8333,0.8333,0.1667,0.3333,0.1667,0.1667,0.9545,0.3333
"63","6324",1,0.375,1,1,1,0.25,0.5,0.375,1,1,1,1,0.6667,0,0.5,0.3333,1,0.5
"64","6332",0.9583,0.2083,0.875,1,1,0.375,0.125,0.125,1,1,0.8333,1,0.1667,0.1667,0.1667,0.3333,0.9583,0.2174
"65","6335",1,0.9583,1,1,1,1,1,0.875,1,1,1,1,1,1,0.8333,1,1,0.9583
"66","6397",0.9583,0.9583,1,1,0.875,1,0.875,1,1,0.8333,1,1,0.8333,1,1,1,1,1
"67","6469",0.875,0.7083,0.875,0.75,1,0.625,0.75,0.75,0.8333,1,1,0.6667,1,0.8333,0.6667,0.3333,0.913,0.7727
"68","6495",0.9167,0.75,0.75,1,1,0.75,0.875,0.625,1,0.8333,1,0.8333,0.8333,0.6667,1,0.5,0.9565,0.8571
"69","6604",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
