"sub","trial","decision","reward","effort","agent","success","grupo"
"1516",4,1,1,2,0,0,0
"1516",5,1,2,2,0,0,0
"1516",6,1,3,2,0,0,0
"1516",7,1,1,3,0,0,0
"1516",8,1,2,3,0,0,0
"1516",9,2,3,3,0,0,0
"1516",10,2,1,4,0,0,0
"1516",11,2,2,4,0,0,0
"1516",12,1,3,4,0,0,0
"1516",13,1,1,1,0,0,0
"1516",14,1,2,1,0,0,0
"1516",15,1,3,1,0,0,0
"1516",16,0,1,2,0,0,0
"1516",17,1,2,2,0,0,0
"1516",18,2,3,2,0,0,0
"1516",19,1,1,3,0,0,0
"1516",20,1,2,3,0,1,0
"1516",21,1,3,3,0,0,0
"1516",22,2,1,4,0,0,0
"1516",23,1,2,4,0,0,0
"1516",24,0,3,4,0,0,0
"1516",25,1,1,1,1,1,0
"1516",26,1,2,1,1,0,0
"1516",27,0,3,1,1,0,0
"1516",28,2,1,2,1,0,0
"1516",29,1,2,2,1,0,0
"1516",30,1,3,2,1,1,0
"1516",31,1,1,3,1,0,0
"1516",32,2,2,3,1,0,0
"1516",33,1,3,3,1,0,0
"1516",34,1,1,4,1,1,0
"1516",35,0,2,4,1,0,0
"1516",36,1,3,4,1,0,0
"1516",37,0,1,1,1,0,0
"1516",38,1,2,1,1,0,0
"1516",39,0,3,1,1,0,0
"1516",40,0,1,2,1,0,0
"1516",41,2,2,2,1,0,0
"1516",42,0,3,2,1,0,0
"1516",43,0,1,3,1,0,0
"1516",44,1,2,3,1,0,0
"1516",45,0,3,3,1,0,0
"1516",46,1,1,4,1,0,0
"1516",47,0,2,4,1,0,0
"1516",48,2,3,4,1,0,0
"1817",1,1,1,1,0,0,1
"1817",2,1,2,1,0,0,1
